10-04-14 19:21:43: DEBUG  kwic.pf.KWIC  - Start
10-04-14 19:21:43: DEBUG  kwic.pf.ShiftFilter  - ShiftFilter start.
10-04-14 19:21:43: DEBUG  kwic.pf.ShiftFilter  - reading
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - reading
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - reading
10-04-14 19:21:43: DEBUG  kwic.pf.ShiftFilter  - Got a line
10-04-14 19:21:43: DEBUG  kwic.pf.ShiftFilter  - I Am
10-04-14 19:21:43: DEBUG  kwic.pf.ShiftFilter  - Got a line
10-04-14 19:21:43: DEBUG  kwic.pf.ShiftFilter  - You Are
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - Got a line
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - I Am
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - Got a line
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - You Are
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - Got a line
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - I Am
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - Got a line
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - Am I
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - Got a line
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - YOU Are
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - Got a line
10-04-14 19:21:43: DEBUG  kwic.pf.LineTransformer  - Are YOU
